ein,name,mission,city,state
219,THE PHILHARMONIC SYMPHONY SOCIETY OF NY,"SEE SCHEDULE O.TO MAINTAIN AND FOSTER AN INTEREST IN THE ENJOYMENT OF MUSIC AND MUSICAL AFFAIRS, TO INCULCATE IN ITS MEMBERS IN NEW YORK CITY AND THE WORLD AT LARGE AN INTEREST IN SYMPHONIC MUSIC.",NEW YORK,NY
220,MUSCULAR DYSTROPHY ASSOCIATION,SEE SCHEDULE O,CHICAGO,IL
221,American Institute of Physics Inc,"AIP'S MISSION IS TO ADVANCE, PROMOTE AND SERVE THE PHYSICAL SCIENCES FOR THE BENEFIT OF HUMANITY.",College Park,MD
222,CONFERENCE ON JEWISH MATERIAL CLAIMS,SEE SCHEDULE O.,NEW YORK,NY
223,COOPERATIVE FOR ASSISTANCE AND RELIEF,"CARE WORKS AROUND THE GLOBE TO SAVE LIVES, DEFEAT POVERTY AND ACHIEVE SOCIAL JUSTICE.",ATLANTA,GA
224,THE POPULATION COUNCIL INC,"GENERATE IDEAS, PRODUCE EVIDENCE, AND DESIGN SOLUTIONS TO IMPROVE (SEE SCHEDULE O)",NEW YORK,NY
225,NEW YORK BOTANICAL GARDEN,"A MUSEUM OF PLANTS AND A SCIENTIFIC RESEARCH CENTER DEVOTED TO THE STUDY OF PLANTS AND THEIR USES. IT IS THE GARDEN'S MISSION TO IMPROVE PUBLIC UNDERSTANDING OF THE NATURAL WORLD, HORTICULTURE, AND THE RELATIONSHIPS BETWEEN PLANTS AND PEOPLE. IT IS ALSO THE GARDEN'S MISSION TO EXPAND HUMANITY'S KNOWLEDGE OF PLANTS AND HOW THEY ARE UTILIZED.",BRONX,NY
226,32BJ NORTH HEALTH FUND,ESTABLISHED TO PROVIDE HEALTH AND WELFARE BENEFITS TO COVERED MEMBERS OF LOCAL 32BJ AND THEIR ELIGIBLE DEPENDENTS ESTABLISHED BY A COLLECTIVE-BARGAINING AGREEMENT.,NEW YORK,NY
227,PHELPS MEMORIAL HOSPITAL ASSOCIATION,PMHA STRIVES TO IMPROVE THE HEALTH OF THE COMMUNITIES IT SERVES AND IS COMMITTED TO PROVIDING THE HIGHEST QUALITY OF CARE FOR THE COMMUNITY REGARDLESS OF ABILITY TO PAY.,WESTBURY,NY
228,BLYTHEDALE CHILDREN'S HOSPITAL,BLYTHEDALE CHILDREN'S HOSPITAL IS DEDICATED TO IMPROVING THE HEALTH & WELL-BEING OF CHILDREN.,VALHALLA,NY
229,THE WINIFRED MASTERSON BURKE,"To provide the highest quality medical care and rehabilitation services to ensure that each patient achieves the maximum functional recovery from illness, injury or disability.",WHITE PLAINS,NY
230,THE CHILDREN'S VILLAGE INC,"AT OUR RESIDENTIAL CAMPUS IN DOBBS FERRY, WE PROVIDE EDUCATION, CLINICAL SERVICES AND POSITIVE YOUTH DEVELOPMENT PROGRAMS TO APPROXIMATELY 800 HIGH-NEED YOUTH ANNUALLY THROUGH A RANGE OF INTENSIVE STABILIZATION AND STEP-DOWN PROGRAMS. THE CAMPUS PROVIDE THE BROADEST CONTINUUM OF SPECIALIZED RESIDENTIAL CARE AVAILABLE IN NEW YORK STATE, WITH PROGRAMS THAT ARE DESIGNED FOR MAXIMUM SAFETY WITH THE EVIDENCE-BASED AND EVIDENCE-INFORMED INTENSIVE, TIME-SENSITIVE INTERVENTIONS. ALL INTERVENTIONS FOCUS ON ACHIEVING PLACEMENT STABILITY AND EXPEDIENT PERMANENCY WITH SOUND DISCHARGE PLANNING IN THE SHORTEST LENGTH-OF-STAY APPROPRIATE. THESE PROGRAMS INCLUDE A RESIDENTIAL TREATMENT CENTER, A RESIDENTIAL TREATMENT FACILITY, A SHORT TERM CRISIS RESIDENCE, SHORT-TERM NON-SECURE DETENTION FOR WESTCHESTER COUNTY, AND SHELTER SERVICES FOR ALIEN IMMIGRANT MINORS IN THE CUSTODY OF THE FEDERAL HEALTH AND HUMAN SERVICES OFFICE OF REFUGEE RESETTLEMENT.",DOBBS FERRY,NY
231,The Hebrew Home for the Aged,"to provide long term residential healthcare, short term rehab, assisted living, and alzheimer's care for older adults.",Bronx,NY
232,Wildlife Conservation Society,"THE WILDLIFE CONSERVATION SOCIETY (WCS) SAVES WILDLIFE AND WILD PLACES WORLDWIDE THROUGH SCIENCE, CONSERVATION ACTION, EDUCATION, AND INSPIRING PEOPLE TO VALUE NATURE.",Bronx,NY
233,NYSARC INC - WESTCHESTER COUNTY CHAPTER,NYSARC WAS FOUNDED IN 1949 TO MEET A CRITICAL MISSION - TO IMPROVE THE QUALITY OF LIFE FOR PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES.,HAWTHORNE,NY
234,MONTEFIORE MEDICAL CENTER,"TO HEAL, TO TEACH, TO DISCOVER AND TO ADVANCE THE HEALTH OF THE COMMUNITIES WE SERVE.",BRONX,NY
235,NORTHERN WESTCHESTER HOSPITAL ASSOCIATION,NWH STRIVES TO IMPROVE THE HEALTH OF THE COMMUNITIES IT SERVES AND IS COMMITTED TO PROVIDING THE HIGHEST QUALITY OF CARE FOR THE COMMUNITY REGARDLESS OF ABILITY TO PAY.,WESTBURY,NY
236,MONTEFIORE NYACK HOSPITAL,"TO PROVIDE COMPETENT, INNOVATIVE AND ACCESSIBLE EMERGENCY AND ACUTE CARE SERVICES FOR THE RESIDENTS OF ROCKLAND COUNTY AND SURROUNDING AREAS.",NYACK,NY
237,HUDSON VALLEY HOSPITAL CENTER,"TO SERVE THE HEALTHCARE NEEDS OF THE COMMUNITY AND TO PROVIDE QUALITY CARE IN A COMPASSIONATE, PROFESSIONAL MANNER, WITHOUT REGARD TO RACE, RELIGION, NATURAL ORIGIN OR DISEASE.",CORTLANDT MANOR,NY
238,ST BARNABAS HOSPITAL,"ST. BARNABAS HOSPITAL IS COMMITTED TO IMPROVING THE HEALTH OF OUR COMMUNITY AND IS DEDICATED TO PROVIDING COMPASSIONATE, COMPREHENSIVE AND INNOVATIVE HEALTH CARE.",BRONX,NY
239,ST JOHNS RIVERSIDE HOSPITAL,THE HOSPITAL IS DEDICATED TO PROVIDING COMPREHENSIVE MEDICAL AND NURSING CARE TO EVERY PATIENT.,YONKERS,NY
240,ST JOSEPH'S HOSPITAL YONKERS,TO PROVIDE AFFORDABLE MEDICAL CARE TO ITS PATIENTS.,YONKERS,NY
241,WHITE PLAINS HOSPITAL MEDICAL CENTER,"TO offer high quality, acute health care and preventive medical care to all people who live in, work in, or visit Westchester County and its surrounding areas.",WHITE PLAINS,NY
242,CALVARY HOSPITAL INC,CALVARY HOSPITAL PROVIDES PALLIATIVE CARE FOR TERMINALLY ILL CANCER PATIENTS.,BRONX,NY
243,SAINT DOMINIC'S FAMILY SERVICES,SAINT DOMINIC'S IS A LEADER IN COMMUNITY BASED AND RESIDENTIAL SERVICES WITH SEE SCHEDULE O,BLAUVELT,NY
244,CARDINAL MCCLOSKEY SCHOOL AND HOME FOR,"THE CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN (D/B/A CARDINAL MCCLOSKEY COMMUNITY SERVICES) (THE ""AGENCY"") IS A NON-SECTARIAN SOCIAL SERVICE AGENCY WHICH SERVES ABUSED AND NEGLECTED CHILDREN, AT-RISK FAMILIES AND DEVELOPMENTALLY DISABLED ADULTS. THE AGENCY PROVIDES CARE TO THOUSANDS OF CHILDREN AND FAMILIES FROM NEW YORK CITY, WESTCHESTER AND ROCKLAND COUNTIES THROUGH TWENTY ONE DIFFERENT PROGRAMS INCLUDING: FOSTER BOARDING HOMES; ADOPTION SERVICES; INDEPENDENT LIVING PROGRAMS; EMERGENCY RESIDENTIAL CARE; FAMILY COUNSELING; AT RISK SERVICES; PARENTING TRAINING; GROUP DAY CARE; FAMILY DAY CARE AND MEALS PROGRAM; AS WELL AS GROUP HOMES, DAY HABILITATION AND SERVICE COORDINATION FOR ADULTS WITH DEVELOPMENTAL DISABILITIES.",VALHALLA,NY
245,COLLEGE OF MT ST VINCENT,"FOUNDED BY THE SISTERS OF CHARITY OF NEW YORK, THE COLLEGE OF MOUNT (CONTINUED ON SCHEDULE O). SAINT VINCENT IS AN ACADEMICALLY EXCELLENT, AUTHENTICALLY INCLUSIVE, CATHOLIC AND ECUMENICAL LIBERAL ARTS COLLEGE.",RIVERDALE,NY
246,Fordham University,"TO PROVIDE THE HIGHEST QUALITY EDUCATION TO UNDERGRADUATE AND GRADUATE STUDENTS, IN THE JESUIT TRADITION.",BRONX,NY
247,HACKLEY SCHOOL,"THE SCHOOL IS AN INDEPENDENT, COLLEGE PREPARATORY SCHOOL (K THROUGH 12) FOR BOYS AND GIRLS.",TARRYTOWN,NY
248,Horace Mann School,"TO PROVIDE A CONTINUOUS EDUCATION PROGRAM FOR BOYS, GIRLS, AND OTHERS WHO IDENTIFY DIFFERENTLY, FROM NURSERY THROUGH HIGH SCHOOL.",Bronx,NY
249,MANHATTAN COLLEGE,"MANHATTAN COLLEGE IS AN INDEPENDENT CATHOLIC INSTITUTION OF HIGHER LEARNING THAT EMBRACES QUALIFIED MEN AND WOMEN OF ALL FAITHS, CULTURES, AND TRADITIONS. THE MISSION OF THE COLLEGE IS TO PROVIDE A CONTEMPORARY, PERSON-CENTERED EDUCATIONAL EXPERIENCE THAT PREPARES GRADUATES FOR LIVES OF PERSONAL DEVELOPMENT, PROFESSIONAL SUCCESSES, CIVIC ENGAGEMENT, AND SERVICE TO THEIR FELLOW HUMAN BEINGS.",RIVERDALE,NY
250,MANHATTANVILLE COLLEGE,TO EDUCATE STUDENTS TO BE ETHICAL AND SOCIALLY RESPONSIBLE LEADERS IN A GLOBAL COMMUNITY.,PURCHASE,NY
251,MASTERS SCHOOL,"THE MASTERS SCHOOL CELEBRATES ACTIVE PARTICIPATION, DEEP UNDERSTANDING, AND MEANINGFUL CONNECTION. A COMMUNITY OF DIVERSE INDIVIDUALS, WE GATHER TO LEARN, TO STRIVE, TO DARE, TO DO - TO BE A POWER FOR GOOD IN THE WORLD.",DOBBS FERRY,NY
252,Riverdale Country School Inc,RIVERDALE COUNTRY SCHOOL IS A PRE-K THROUGH GRADE 12 INDEPENDENT SCHOOL IN NEW YORK CITY.,Bronx,NY
253,Rye Country Day School,TO OPERATE A COEDUCATIONAL COLLEGE PREP SCHOOL DEDICATED TO PROVIDING STUDENTS FROM PRE-K THROUGH GRADE 12 WITH A CHALLENGING PROGRAM USING TRADITIONAL AND INNOVATIVE APPROACH.,Rye,NY
254,THE WINDWARD SCHOOL,WINDWARDS' MISSION IS TO REMEDIATE STUDENTS' DYSLEXIA OR OTHER LANGUAGE-BASED LEARNING DISABILITIES AND RETURN STUDENTS TO MAINSTREAM SCHOOLS.,WHITE PLAINS,NY
255,UNITED ISRAEL APPEAL INC,UIA IS RESPONSIBLE FOR THE ALLOCATION AND OVERSIGHT OF FUNDS RAISED BY THE UNITED STATES JEWISH FEDERATION CAMPAIGNS EXPENDED IN ISRAEL BY THE JEWISH AGENCY FOR ISRAEL.,New York,NY
256,UNITED STATES FUND FOR UNICEF,THE ORGANIZATION'S MISSION IS TO RELENTLESSLY PURSUE A MORE EQUITABLE WORLD FOR EVERY CHILD.,NEW YORK,NY
257,JAWONIO INC,"JAWONIO, INC. IS DEDICATED TO ADVANCING THE INDEPENDENCE, WELL-BEING, AND EQUALITY OF INDIVIDUALS WITH VARIOUS DISABILITIES, BEHAVIORAL HEALTH CHALLENGES AND CHRONIC MEDICAL NEEDS.",NEW CITY,NY
258,YPO INC,"YPO'S CORE MISSION IS TO DEVELOP ""BETTER LEADERS THROUGH LIfelong Learning AND IDEA EXCHANGE"".",irving,TX
259,CONSUMER REPORTS INC,"WE ARE AN INDEPENDENT, NONPROFIT ORGANIZATION THAT WORKS SIDE BY SIDE WITH CONSUMERS. SEE SCHEDULE O.WE ARE AN INDEPENDENT, NONPROFIT ORGANIZATION THAT WORKS SIDE BY SIDE WITH CONSUMERS FOR TRUTH, TRANSPARENCY, AND FAIRNESS IN THE MARKETPLACE.",YONKERS,NY
260,AMERICAN CANCER SOCIETY INC,"IMPROVE THE LIVES OF PEOPLE WITH CANCER AND THEIR FAMILIES THROUGH ADVOCACY, RESEARCH, AND PATIENT SUPPORT, TO ENSURE EVERYONE HAS AN OPPORTUNITY TO PREVENT, DETECT, TREAT, AND SURVIVE CANCER.",KENNESAW,GA
261,WHITNEY MUSEUM OF AMERICAN ART,WHITNEY MUSEUM OF AMERICAN ART IS A MUSEUM DEVOTED TO AMERICAN ART OF THE 20TH AND 21ST CENTURIES.,NEW YORK,NY
262,WORLD EDUCATION INC,"WORLD EDUCATION IS DEDICATED TO IMPROVING THE LIVES OF THE POOR THROUGH EDUCATION, AND ECONOMIC AND SOCIAL DEVELOPMENT PROGRAMS.",BOSTON,MA
263,ANTI-DEFAMATION LEAGUE,ADL WAS FORMED IN 1913 TO STOP THE DEFAMATION OF THE JEWISH PEOPLE AND TO SECURE JUSTICE FOR ALL.,NEW YORK,NY
264,HEALTH INSURANCE PLAN OF GREATER NEW,HIPGNY'S MISSION IS TO CREATE HEALTHIER FUTURES FOR ITS CUSTOMERS (CONTINUED ON SCHEDULE O),NEW YORK,NY
265,CANDID,CANDID GETS YOU THE INFORMATION YOU NEED TO DO GOOD.,NEW YORK,NY
266,NATIONAL URBAN LEAGUE INC,"ENABLE AFRICAN-AMERICAN AND OTHER UNDERSERVED URBAN RESIDENTS TO SECURE ECONOMIC SELF-RELIANCE, PARITY, POWER AND CIVIL RIGHTS.",NEW YORK,NY
267,NEW YORK SHAKESPEARE FESTIVAL,"THROUGH THE PUBLIC THEATER, SHAKESPEARE IN THE PARK AND JOE'S PUB, NYSF IS DEDICATED TO DEVELOPING AN AMERICAN THEATER THAT IS ACCESSIBLE AND RELEVANT TO ALL PEOPLE.",NEW YORK,NY
268,MARCH OF DIMES INC,MARCH OF DIMES LEADS THE FIGHT FOR THE HEALTH OF ALL MOMS AND BABIES.,ARLINGTON,VA
269,LINCOLN CENTER FOR THE PERFORMING ARTS,"TO SUSTAIN, ENCOURAGE, AND PROMOTE THE PERFORMING ARTS. SEE SCHEDULE O FOR CONTINUATION.",NEW YORK,NY
270,INTERNATIONAL COUNCIL OF SHOPPING,"PROMOTE AND IMPROVE THE CONDITIONS OF THE MARKETPLACES INDUSTRY THROUGH PROFESSIONAL EDUCATION, CONFERENCES, PUBLICATIONS, RESEARCH AND LEGISLATIVE ACTION.",NEW YORK,NY
271,Rising Ground Inc,"RISING GROUND IS DEDICATED TO SUPPORTING CHILDREN, ADULTS, AND FAMILIES. WORKING TOGETHER, WE CREATE STRONG FOUNDATIONS FOR SUCCESS.",BROOKLYN,NY
272,US COMMITTEE FOR REFUGEES AND,TO PROTECT THE RIGHTS AND ADDRESS THE NEEDS OF PERSONS IN FORCED OR VOLUNTARY MIGRATION WORLDWIDE AND SUPPORT THEIR TRANSITION TO A DIGNIFIED LIFE.,ARLINGTON,VA
273,THE NEW YORK PUBLIC LIBRARY,"TO INSPIRE LIFELONG LEARNING, ADVANCE KNOWLEDGE, & STRENGTHEN OUR COMMUNITIES.",NEW YORK,NY
274,THE BRIDGE INC,"THE BRIDGE'S MISSION IS TO CHANGE LIVES, BY OFFERING HELP, HOPE AND (SEE SCHEDULE O) OPPORTUNITY TO THE MOST VULNERABLE IN OUR COMMUNITY. THE BRIDGE OFFERS A COMPREHENSIVE RANGE OF EVIDENCE-BASED REHABILITATIVE SERVICES, INCLUDING MENTAL HEALTH AND SUBSTANCE ABUSE TREATMENT, SUPPORTED HOUSING,VOCATIONAL TRAINING AND JOB PLACEMENT, HEALTHCARE, EDUCATION AND CREATIVE ARTS THERAPIES.",NEW YORK,NY
275,ASSOCIATION FOR COMPUTING,"WE ARE AN INTL. SCIENTIFIC & EDUCATIONAL ORG. DEDICATED TO ADVANCING ART, SCIENCE & TECHNOLOGY.",NEW YORK,NY
276,THE CARNEGIE HALL CORPORATION,"TO PRESENT MUSIC & MUSICIANS, BRING THE TRANSFORMATIVE POWER OF MUSIC. SEE SCHEDULE OTO THE WIDEST POSSIBLE AUDIENCE, PROVIDE EDUCATION PROGRAMS, AND PROVIDE NEW WORKS, ARTISTS & AUDIENCES.",NEW YORK,NY
277,Memorial Sloan-Kettering Cancer Center,"LEADERSHIP IN THE PREVENTION, TREATMENT, AND CURE OF CANCER THROUGH EXCELLENCE, VISION, AND COST EFFECTIVENESS IN PATIENT CARE, OUTREACH PROGRAMS, RESEARCH, AND EDUCATION",NEW YORK,NY
278,CYSTIC FIBROSIS FOUNDATION,"TO CURE CYSTIC FIBROSIS (CF) AND TO PROVIDE ALL PEOPLE WITH CF THE (CONTINUED ON SCH O) OPPORTUNITY TO LEAD LONG, FULFILLING LIVES.",BETHESDA,MD
279,NATIONAL COUNCIL ON AGING INC,"IMPROVING THE LIVES OF MILLIONS OF OLDER ADULTS, ESPECIALLY THOSE WHO ARE STRUGGLING.",ARLINGTON,VA
280,INTERNATIONAL COLLEGE - BEIRUT,THE MISSION OF INTERNATIONAL COLLEGE IS TO PROVIDE ITS STUDENTS WITH EXEMPLARY CURRICULAR AND EXTRACURRICULAR PROGRAMS WHICH REFLECT THE BEST PRACTICES IN AMERICAN AND INTERNATIONAL EDUCATION.,NEW YORK,NY
281,VERA INSTITUTE OF JUSTICE INC,"TO END THE OVERCRIMINALIZATION AND MASS INCARCERATION OF PEOPLE OF COLOR, IMMIGRANTS, AND PEOPLE EXPERIENCING POVERTY.",BROOKLYN,NY
282,PARALYZED VETERANS OF AMERICA,SEE SCHEDULE O.,WASHINGTON,DC
283,NEW YORK BLOOD CENTER INC,"AS ONE OF THE MOST PREEMINENT AND COMPREHENSIVE BLOOD CENTERS IN THE WORLD, NEW YORK BLOOD CENTER OPERATES UNDER A FOUR-PART MISSION.SPECIFICALLY, NYBC EXISTS:- TO PROVIDE THE HIGHEST QUALITY BLOOD AND STEM CELL PRODUCTS AND RELATED MEDICAL AND CONSULTATIVE SERVICES TO HOSPITALS AND PATIENTS.- TO CONDUCT THE HIGHEST QUALITY, NOVEL AND INNOVATIVE RESEARCH IN THE FIELDS OF HEMATOLOGY, BLOOD BANKING AND TRANSFUSION MEDICINE, AND CELLULAR THERAPIES, THUS ADVANCING THESE FIELDS AND POSITIVELY IMPACTING THE PUBLIC HEALTH- TO DEVELOP PRODUCTS, TECHNOLOGIES, AND SERVICES IN THE FIELDS OF HEMATOLOGY, BLOOD BANKING, AND TRANSFUSION MEDICINE AND CELLULAR THERAPIES, WITH THE POTENTIAL TO HAVE WORLDWIDE HUMANITARIAN IMPACT- TO TRAIN THE NEXT GENERATION OF LEADERS IN EACH OF THESE FIELDS",NEW YORK,NY
284,MANHATTAN AND BRONX SURFACE TRANSIT OPERATING AUTHORITY,Provide Public Bus Transportation in New York City boroughs of Manhattan and the Bronx,New York,NY
285,MERCY COLLEGE,"EDUCATE STUDENTS IN LIBERAL ARTS, SCIENCES, BUSINESS, EDUCATION AND PROFESSIONAL PROGRAMS.",DOBBS FERRY,NY
286,DOMINICAN UNIVERSITY NEW YORK,"PROMOTE EDUCATIONAL EXCELLENCE, LEADERSHIP, & SERVICE VIA A STRONG COMMITMENT TO OUR STUDENTS.",ORANGEBURG,NY
287,BRONXCARE HEALTH SYSTEM,TO DELIVER THE HIGHEST QUALITY OF HEALTHCARE SERVICES TO THE BRONX COMMUNITY.,BRONX,NY
288,Allied Pilots Association,"to operate a non-profit employee representing association, a labor union see Schedule O, Attachment 1",Fort Worth,TX
289,Research Foundation of the City University of New York,Provide support to CUNY faculty and staff in identifying and obtaining external support (pre-award) from government and private sponsors and is responsible for the administration of all such funded programs (post-award).,New York,NY
290,ABBOTT HOUSE,"THE MISSION OF ABBOTT HOUSE IS TO PROVIDE COMPREHENSIVE AND CARING SERVICES FOR ABUSED, NEGLECTED, AND ABANDONED CHILDREN AND THEIR FAMILIES AND TO OFFER OUR SERVICES WITH COMPASSION, ALWAYS MINDFUL OF THE DIGNITY OF EACH PERSON SERVED, WITH A GOAL OF SECURING A SAFE, PERMANENT, AND LOVING HOME FOR EACH CHILD WHO COMES TO US. AS THE PROVIDER OF DAY AND RESIDENTIAL SERVICES FOR DEVELOPMENTALLY DISABLED CHILDREN AND ADULTS, WE CELEBRATE THE VALUE AND POTENTIAL OF EACH PERSON AS WE COMMIT OUR RESOURCES TO ENABLE EACH INDIVIDUAL TO DEVELOP TO HIS/HER POTENTIAL.",IRVINGTON,NY
291,American Friends of the Tel Aviv University,"DEVELOPMENT AND ADVANCEMENT OF HIGHER EDUCATION, RESEARCH AND TRAINING IN ALL BRANCHES OF KNOWLEDGE IN ISRAEL AND ELSEWHERE.",New York,NY
292,AMDA INC (AMERICAN MUSICAL,SEE SCHEDULE O,NEW YORK,NY
293,LIFESPIRE INC,TO CHAMPION AND SUPPORT PEOPLE WHO HAVE INTELLECTUAL/DEVELOPMENTAL DISABILITIES TO REALIZE THEIR GOALS AND DREAMS.,NEW YORK,NY
294,UNITED FEDERATION OF TEACHERS,PROVIDE WELFARE BENEFITS TO ELIGIBLE PARTICIPANTS,NEW YORK,NY
295,THE INSTITUTES OF APPLIED HUMAN DYNAMICS,"WE ARE COMMITTED TO POSITIVELY IMPACT THE LIVES OF PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, AND THEIR FAMILIES. OUR FOCUS IS TO UNDERSTAND AND RESPECT EACH PERSON'S UNIQUE STRENGTHS, QUALITIES AND DREAMS FINDING WAYS TO SUPPORT BUILDING FULFILLED LIVES.",TARRYTOWN,NY
296,LUTHERAN IMMIGRATION & REFUGEE SERVICE,LIRS WORKS TO CREATE WELCOME FOR MIGRANTS AND REFUGEES. ADVOCATES FOR AND HELPS (CONT'D ON SCH O),BALTIMORE,MD
297,Lutheran World Relief,"LWR WORKS WITH LUTHERANS & PARTNERS AROUND THE WORLD TO END POVERTY, INJUSTICE, & HUMAN SUFFERING.",Baltimore,MD
298,MAJOR LEAGUE BASEBALL PLAYERS,THE ORGANIZATION IS THE UNION REPRESENTING MAJOR LEAGUE BASEBALL PLAYERS.,NEW YORK,NY
299,CITY UNIVERSITY CONSTRUCTION FUND,MANAGE RESOURCES FOR DESIGN/CONSTR. OF SPACE REQUIRED TO SUPPORT EDUC. MANDATE OF CUNY.,NEW YORK,NY
300,THE STUDIO MUSEUM IN HARLEM,"THE NEXUS FOR ARTISTS OF AFRICAN DESCENT, LOCALLY, NATIONALLY, AND INTERNATIONALLY, AND FOR WORK THAT HAS BEEN INSPIRED AND INFLUENCED BY BLACK CULTURE.",NEW YORK,NY
301,Riverside Research Institute,THE NATURE OF ITS ACTIVITIES ARE TO ENGAGE IN AND SUPPORT SCIENTIFIC RESEARCH.,ARLINGTON,VA
302,PROJECT RENEWAL INC,"THE ORGANIZATION OPERATES ACCESSIBLE FACILITES IN NEW YORK CITY THAT OFFER MEDICAL, EMPLOYMENT, HOUSING, AND COMMUNITY OUTREACH SERVICES TO HOMELESS AND FORMERLY HOMELESS PEOPLE SUFFERING FROM MENTAL ILLNESS, ALCOHOLISM, AND SUBSTANCE ABUSE.",NEW YORK,NY
303,CORPORATION FOR PUBLIC BROADCASTING,"TO FACILITATE THE DEVELOPMENT OF, AND ENSURE UNIVERSAL ACCESS TO, NON-COMMERCIAL, HIGH-QUALITY PROGRAMMING AND TELECOMMUNICATIONS SERVICES WITH NON-COMMERCIAL EDUCATIONAL LICENSEES.",WASHINGTON,DC
304,FUND FOR THE CITY OF NEW YORK INC,THE FUND FOR THE CITY OF NEW YORK WAS CREATED IN 1968 BY THE FORD FOUNDATION TO BE RESPONSIVE TO OPPORTUNITIES TO IMPROVE THE QUALITY OF LIFE FOR ALL NEW YORKERS BY WORKING TO IMPROVE THE PERFORMANCE OF GOVERNMENT AND NONPROFIT ORGANIZATIONS.,NEW YORK,NY
305,UNITED WAY OF NEW YORK CITY,"UNITED WAY OF NEW YORK CITY (UWNYC) MOBILIZES COMMUNITIES, BREAKS DOWN BARRIERS,(SEE SCHEDULE O) AND BUILDS OPPORTUNITIES FOR LOW-INCOME NEW YORKERS FOR THE BENEFIT OF ALL. WE HOLD A VISION FOR COMMUNITIES WHERE INDIVIDUALS AND FAMILIES HAVE ACCESS TO QUALITY EDUCATION, EQUITABLE OPPORTUNITIES, AND THE RESOURCES THEY NEED TO LEAD HEALTHY AND FINANCIALLY SECURE LIVES.",NEW YORK,NY
306,THE JEWISH ASSOCIATION FOR SERVICES,TO SUSTAIN AND ENRICH THE LIVES OF THE AGING IN THE NEW YORK METROPOLITAN AREA.,NEW YORK,NY
307,PLANNED PARENTHOOD OF GREATER NEW YORK,PPGNY IS A LEADING PROVIDER OF SEXUAL & REPRODUCTIVE HEALTH SERVICES & INFORMATION.,NEW YORK,NY
308,TECHNOSERVE INC,"TECHNOSERVE WORKS WITH ENTERPRISING PEOPLE IN THE DEVELOPING WORLD TO BUILD COMPETITIVE FARMS, BUSINESSES, AND INDUSTRIES.",ARLINGTON,VA
309,PARKER JEWISH INSTITUTE FOR HEALTH CARE,"THE INSTITUTE'S MOST SIGNIFICANT ACTIVITIES DURING THE YEAR INCLUDED PROVIDING, WITH COMPASSION AND DEDICATION, SUPERIOR QUALITY HEALTH CARE AND REHABILITATION FOR ADULTS AND TO DIRECTLY OR INDIRECTLY COORDINATE ARRANGEMENTS AND PROVISION FOR COMPREHENSIVE HEALTH CARE AND SOCIAL SUPPORT SERVICES TO FRAIL ELDERLY AND OTHER INDIVIDUALS WHO MAY REQUIRE CHRONIC OR LONG TERM CARE, AND TO ENGAGE IN EDUCATIONAL ACTIVITIES RELATING TO SUCH ACTIVITIES.",NEW HYDE PARK,NY
310,THE MENTAL HEALTH ASSOCIATION OF NEW YORK,"TO PROMOTE MENTAL HEALTH CARE THROUGH SERVICE, ADVOCACY AND EDUCATION BY IDENTIFYING UNMET NEEDS AND DEVELOPING CULTURALLY SENSITIVE SOLUTIONS.",NEW YORK,NY
311,1199 SEIU LEAGUE TRAINING AND,TO PROVIDE A VARIETY OF EDUCATIONAL AND TRAINING PROGRAMS TO ELIGIBLE EMPLOYEES IN THE HEALTH CARE AND HUMAN SERVICE INDUSTRY,NEW YORK,NY
312,THE FORTUNE SOCIETY INC,"THE FORTUNE SOCIETY'S MISSION IS TO SUPPORT SUCCESSFUL RE-ENTRY FROM INCARCERATION. PROMOTE ALTERNATIVES TO INCARCERATION, THUS STRENGTHENING THE FABRIC OF OUR COMMUNITIES. WE DO THIS BY OFFERING A COMPREHENSIVE ARRAY OF SERVICES, INCLUDING CAREER DEVELOPMENT, EDUCATION, HEALTH SERVICES, HOUSING, SUBSTANCE ABUSE TREATMENT, COUNSELING, DROP-IN-SERVICES AND ADVOCACY, TO SUPPORT EACH INDIVIDUAL'S NEEDS AND EXPERIENCES AS THEY ENTER THE FORTUNE SOCIETY.",LONG ISLAND CITY,NY
313,NATURAL RESOURCES DEFENSE COUNCIL INC,"WE WORK TO SAFEGUARD THE EARTH: ITS PEOPLE, ITS PLANTS & ANIMALS, ON WHICH ALL LIFE DEPENDS.",NEW YORK,NY
314,SESAME WORKSHOP,"OUR MISSION IS TO HELP KIDS GROW SMARTER, STRONGER AND KINDER.",NEW YORK,NY
315,Puerto Rican Organization to Motivate,"PARTNER WITH COMMUNITIES, LEAD CHANGE, AND PROMOTE HEALTHY AND PROSPEROUS INDIVIDUALS AND FAMILIES.",Bronx,NY
316,CENTER FOR ALTERNATIVE SENTENCING &,"CASES' MISSION IS TO INCREASE PUBLIC SAFETY THROUGH INNOVATIVE SERVICES THAT REDUCE CRIME AND INCARCERATION, IMPROVE BEHAVIORAL HEALTH, PROMOTE RECOVERY AND REHABILITATION, AND CREATE OPPORTUNITIES FOR SUCCESS IN THE COMMUNITY.",BROOKLYN,NY
